,job_title,company_name,location,job_kind,skills
118,IT Technical Support Specialist (Work Will Be Allocated In Africa) 22001,Confidential,"Cairo, Egypt ",Full Time,Full TimeExperienced · 5 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Hardware · Installation · Networks · Hardware · LAN · WAN
119,Devops Engineer,Ejada (Cairo),"Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · AWS · DevOps · Java
120,Data Scientist,Confidential,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Hadoop · Information Technology (IT) · Machine Learning · Naive Bayes · Programming
121,Senior Odoo Developer,aliaict,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Agile · Information Technology (IT) · HTML · Software Development · Odoo · Programming
122,Penetration Testing Engineer,MNZ Technology,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Quality · Penetration Testing · infosec · Information Security · senior penetration testing · hiring · Engineering · Computer Science · Security Testing
123,Network & Security Team Leader,Universities of Canada in Egypt,"New Capital, Cairo, Egypt ",Work From Home,Full TimeManager · 6 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Networking · Software Engineering · Troubleshooting · Security · English
124,Solidworks Mechanical Design Engineer,Simplex,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Manufacturing/Production · Engineering - Mechanical/Electrical · AutoCAD · Design · design engineer · Engineering · engineer · Mechanical · Mechanical Design
125,Full Stack Developer,Easy System,"Cairo, Egypt ",Full Time,Full TimePart TimeExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Full Stack Development · Java · Computer Science · Angular · CSS · HTML
126,Computer Science Teacher,Don Bosco,"Shubra, Cairo, Egypt ",Full Time,Full TimePart TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Computer Science · Information Technology (IT) · computer · Skills · Software Development · Software Engineering · Teaching
127,Senior Front End Developer,Dafater,"Nasr City, Cairo, Egypt ",Part Time,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Software Development · Web · HTML · jQuery
128,Trevipay| Senior Software Testing Engineer - El Gouna,Kalasko,"Hurghada, Red Sea, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Selenium · Testim.io · Katalon Studio · CI/CD · Apache JMeter · Sitespeed.io · Java
129,Odoo Project Manager,Confidential,"Cairo, Egypt ",Part Time,Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · ERP · Odoo · Business Processes · Information Technology (IT) · IT · PMP · Project Management
130,Odoo Developer & Pre-Sales Specialist,Elitbuzz,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · SW Development · Pre-Sales · ERP Implementation · ERP Software · Communication · Communication skills · Computer Science
131,Senior Professional Services,FlairsTech,"Maadi, Cairo, Egypt ",Work From Home,Full TimeExperienced · 6 - 8 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Engineering · Customer Support · Communication skills · Software Implementation · Project Management Professional · BI · Mysql Database
132,MEP BIM Project Engineer,Pinnacle Real Estate Investments and Development Management,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering · Mechanical Engineering · Revit · Navisworks · Project Management · MEP · Dynamo · C## Programing
133,GIS Database Administrator,Perfect Presentation,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 8+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · ArcGIS · Database · Software Engineering
134,C++ / javascript Developer,LyRise,"Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · JavaScript · Software Engineering · c++ · Android · Development · Information Technology (IT)
135,Senior Full Stack Developer,Infasme,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Engineering · Software Development · Information Technology (IT) · English · Computer Science
136,Data Engineers / Senior (Multinational Company),Hala Consulting ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · back-end · Computer Science · Data · Software Development · Software Engineering · Architecture · AWS
